,n.inp,%corr.inp,n.un.inp,n.clus.inp,n.fram.inp,n.gfram.inp,ag.d.inp,n.out.u,%corr.out.u,n.un.out.u,n.clus.out.u,n.fram.out.u,n.gfram.out.u,ag.d.out.u,%new.str.u,%new.fram.u,%new.gfram.u,n.out.c,%corr.out.c,n.un.out.c,n.clus.out.c,n.fram.out.c,n.gfram.out.c,ag.d.out.c,%new.str.c,%new.fram.c,%new.gfram.c
0,50000.0,100.0,50000.0,41799.0,35450.0,20202.0,14919.565817755038,5000.0,97.48,4224.0,3130.0,2776.0,1861.0,1139.5301431567646,35.75,62.14,37.56,5000.0,97.76,2097.0,1788.0,1156.0,477.0,707.5220038911007,30.2,13.4,22.64
1,100000.0,100.0,100000.0,77318.0,64749.0,33325.0,26326.5513956127,5000.0,98.06,4277.0,2965.0,2536.0,1758.0,1073.6460819186402,27.87,59.94,31.51,5000.0,98.08,2437.0,2061.0,1225.0,497.0,785.3153375534766,23.84,12.48,16.1
2,150000.0,100.0,150000.0,109303.0,91220.0,44093.0,36541.75597480436,5000.0,95.34,4351.0,3600.0,3121.0,2187.0,1370.9035455616681,30.43,53.22,27.66,5000.0,97.14,2648.0,2339.0,1472.0,550.0,944.1331122507703,26.48,13.34,16.73
3,200000.0,100.0,200000.0,139145.0,115765.0,53624.0,45937.24881064943,5000.0,97.92,4191.0,2932.0,2533.0,1739.0,1067.672589036846,20.66,51.05,24.44,5000.0,98.98,2290.0,1890.0,1142.0,462.0,744.0179554785136,17.32,9.9,11.9
4,250000.0,100.0,250000.0,167501.0,139207.0,62265.0,54794.62867004615,5000.0,95.56,4329.0,3492.0,3051.0,2193.0,1300.2502290504217,23.98,50.48,24.49,5000.0,97.18,2741.0,2383.0,1568.0,619.0,965.6887790233162,20.76,14.54,12.12
5,300000.0,100.0,300000.0,194527.0,161518.0,70142.0,63252.17919812257,5000.0,94.68,4218.0,3352.0,2973.0,2105.0,1270.4654987560652,23.14,49.31,24.23,5000.0,96.4,2590.0,2277.0,1525.0,614.0,935.2302655962378,19.52,13.18,15.64
6,50000.0,100.0,50000.0,41799.0,35450.0,20202.0,14919.565817755038,10000.0,96.65,7976.0,5485.0,4484.0,2950.0,1917.5989320644476,37.1,65.59,42.81,10000.0,97.83,3908.0,3176.0,1773.0,650.0,1180.3306966219136,29.59,10.91,28.92
7,100000.0,100.0,100000.0,77318.0,64749.0,33325.0,26326.5513956127,10000.0,97.93,7659.0,4775.0,4123.0,2673.0,1621.8631405504368,26.65,62.94,36.36,10000.0,98.4,3579.0,2786.0,1557.0,580.0,1003.9563075999538,20.41,8.21,18.79
8,150000.0,100.0,150000.0,109303.0,91220.0,44093.0,36541.75597480436,10000.0,93.88,8277.0,6583.0,5451.0,3534.0,2482.681277619565,31.67,54.65,30.14,10000.0,96.29,4699.0,4153.0,2483.0,863.0,1664.5414815825145,26.21,13.31,22.71
9,200000.0,100.0,200000.0,139145.0,115765.0,53624.0,45937.24881064943,10000.0,94.69,8145.0,6079.0,5307.0,3501.0,2206.897772861151,27.99,57.06,30.31,10000.0,96.91,4307.0,3668.0,2231.0,759.0,1395.2941327204064,22.8,11.08,15.94
10,250000.0,100.0,250000.0,167501.0,139207.0,62265.0,54794.62867004615,10000.0,95.06,8211.0,6367.0,5295.0,3420.0,2310.5067488871946,25.83,51.5,26.52,10000.0,96.38,4416.0,3828.0,2226.0,777.0,1508.2520462712287,21.21,10.37,15.83
11,300000.0,100.0,300000.0,194527.0,161518.0,70142.0,63252.17919812257,10000.0,96.08,7924.0,5920.0,4857.0,3157.0,2139.883988311325,23.86,50.67,25.4,10000.0,96.58,3619.0,3106.0,1772.0,651.0,1213.3327709632572,18.91,7.75,14.75
12,50000.0,100.0,50000.0,41799.0,35450.0,20202.0,14919.565817755038,20000.0,94.94,15344.0,11025.0,9212.0,5614.0,3882.783931431242,40.58,69.6,48.56,20000.0,96.3,7288.0,6057.0,3406.0,1094.0,2252.907701209735,31.13,11.8,35.28
13,100000.0,100.0,100000.0,77318.0,64749.0,33325.0,26326.5513956127,20000.0,96.12,13813.0,9311.0,7424.0,4487.0,3222.498270449992,34.21,64.57,37.84,20000.0,97.41,5067.0,4202.0,2424.0,802.0,1571.9751290964157,23.63,6.84,22.82
14,150000.0,100.0,150000.0,109303.0,91220.0,44093.0,36541.75597480436,20000.0,93.66,14853.0,10803.0,9257.0,5638.0,3828.6186685194366,32.83,61.89,37.18,20000.0,95.81,6796.0,5717.0,3317.0,1030.0,2162.07213255832,24.38,9.4,21.55
15,200000.0,100.0,200000.0,139145.0,115765.0,53624.0,45937.24881064943,20000.0,96.86,14547.0,9448.0,8266.0,4941.0,3193.4304182330147,25.89,61.93,34.53,20000.0,97.98,6105.0,4878.0,2993.0,915.0,1773.176878605165,18.83,8.34,18.91
16,250000.0,100.0,250000.0,167501.0,139207.0,62265.0,54794.62867004615,20000.0,96.83,13454.0,8574.0,7299.0,4452.0,2918.9407980094197,22.46,56.58,30.01,20000.0,97.68,5019.0,4085.0,2352.0,811.0,1520.4597654219751,15.11,5.67,15.78
17,300000.0,100.0,300000.0,194527.0,161518.0,70142.0,63252.17919812257,20000.0,96.02,14667.0,10090.0,8488.0,5202.0,3487.3160217780173,24.03,56.77,30.62,20000.0,97.46,6175.0,5024.0,3049.0,983.0,1850.0996610928487,17.62,7.5,20.65
